Epochs,Train losses,Validation losses,Train DICE,Validation DICE
1,0.5565053399120057,0.7257476423467905,0.5961133998419549,0.029247338234978895
2,0.41534194818564774,0.8888802511351445,0.7426771050052975,0.42108089962109413
3,0.32220386011259877,0.9505076612745008,0.8379207480166636,0.663494928550374
4,0.2885311177798678,0.8434907972812649,0.8747273010866978,0.7125873259135651
5,0.269112600066832,0.7083540763173781,0.8865537583827967,0.7483198148863652
6,0.25576940657837033,0.6984865554741447,0.8989338883331839,0.7400073000362938
7,0.24219191468187726,0.4850338952881946,0.9083736866712566,0.7764019114630559
8,0.23514280649168132,0.4570924239499226,0.9082564055919642,0.7920138052531648
9,0.23119572869368943,0.4202933788299559,0.9060843680586129,0.812248451369149
10,0.22086782104202665,0.3064377963542937,0.9219235398939674,0.8394043871334615
11,0.20870831800358625,0.25333442602838774,0.9387572756835387,0.8270500625882826
12,0.20665101706981645,0.2575027014528,0.9409452229738231,0.8271354879651747
13,0.22338318888630174,0.3986279172556739,0.8931806943246292,0.8337539127894806
14,0.22697542150105735,0.5656286861215316,0.8739845782518383,0.8330768193517408
15,0.20923374082360935,0.5255623553480419,0.898261873211179,0.8047307099614821
16,0.18841028458305753,0.340882303885051,0.9387267214911321,0.7563977411815094
17,0.18321418379034304,0.273704340628215,0.9405475194965085,0.7442335673740927
18,0.1801790586539676,0.30468231950487396,0.9424960438694268,0.7615222777639112
19,0.1734754592180251,0.2894351235457827,0.9498114202703744,0.8051054273332865
20,0.16583571795906327,0.29181688172476616,0.9578831825937538,0.8242726462227953
21,0.1623332627117633,0.31901306169373633,0.9570415109395976,0.8513508643422805
22,0.1620259785226412,0.325606219257627,0.9539016093526563,0.8412639158112658
23,0.15604436014379763,0.3024528001035961,0.9620874754020141,0.8108548215457367
24,0.15125292081918024,0.28470047371728063,0.9664557665586466,0.7966215286936075
25,0.15314518958330142,0.2871009528636931,0.9492139428853985,0.8071461813790454
26,0.15184356155140047,0.30343917267663123,0.9446711012295309,0.765110920156751
27,0.14389981888234604,0.301623168161937,0.9596461108752654,0.7363816244261602
28,0.13452480105417103,0.2878055342606134,0.9790345902953825,0.7585795572825837
29,0.13725982164697978,0.26542585151536113,0.9663219447646818,0.8004315665790009
30,0.1377972944506576,0.2694168133395057,0.9577108953680307,0.8069790959358212
31,0.1356745097786187,0.3131950625351495,0.9618667981454299,0.8184534685952318
32,0.1341462305081741,0.3225155643054415,0.9554219037294382,0.8377457397324695
33,0.1330966054861034,0.2923856181757789,0.9548607770885735,0.8313215800694054
34,0.13803091948585844,0.27140201926231367,0.9307368401970179,0.8237113986696512
35,0.1322098910276378,0.28424420867647426,0.9414980752127506,0.8224387271063665
36,0.13326380965965123,0.2619825099195751,0.9418782902615407,0.8261075053896219
37,0.12703378471945,0.2739959205899918,0.9630401372909542,0.8270185095923284
38,0.12244849471109245,0.3424526035785673,0.9654124443020135,0.8280465619904651
39,0.12463656200894277,0.34577410817146287,0.9356782363993776,0.8266386951719007
40,0.1262893306889703,0.2996296678270611,0.9246977201529907,0.7719033786228721
41,0.12041577867099204,0.26154119798115305,0.9393348268100189,0.7633149896349222
42,0.10337775786008147,0.2638427921703882,0.9812408758061268,0.7904754093715118
43,0.10364939799266197,0.2564984696252004,0.971040199058396,0.8387972508157999
44,0.10338098087481082,0.2673493751457758,0.9699438026973175,0.8150970884731834
45,0.10490681709987765,0.27209249394280555,0.9696712651423041,0.7818454197474884
46,0.10091003227446746,0.2703179644686834,0.971792403714997,0.7743345992905749
47,0.09769832577024176,0.2639907764536992,0.9712743542024062,0.8042166216032841
48,0.09731391694928909,0.2469358772039412,0.9673854070050371,0.8365794420242305
49,0.09640645352857445,0.23332524171897331,0.9691970446280065,0.8388469031878876
50,0.09089114415858464,0.2443412644522529,0.9769281817334035,0.8095240167209076
51,0.0860490395022289,0.2525073311158587,0.9832432785204474,0.7852018901279991
52,0.08480292287256028,0.2556721478700636,0.9818993219307486,0.7895941683224266
