Epochs,Train losses,Validation losses,Train DICE,Validation DICE
1,0.44328056843507857,1.5392703016599019,0.6702541368348258,0.6715594331423441
2,0.31420581468514036,1.12809822956721,0.7780357059978303,0.6385792096455892
3,0.2565702121882212,0.5031131903330485,0.8360479105086553,0.6616333921750387
4,0.2341950067452022,0.27039723098278046,0.8521384752932049,0.83368053038915
5,0.20354997189272017,0.22885431349277496,0.8900179437228611,0.8519566853841146
6,0.1810077890044167,0.24428039292494455,0.9139528274536133,0.8296365141868591
7,0.17602574896244777,0.30837590992450714,0.8829275114195687,0.7421033978462219
8,0.1875918848173959,0.22795980672041574,0.8875186159497216,0.8503099083900452
9,0.16102480178787595,0.21543305118878683,0.8723292549451193,0.8128454287846884
10,0.17791625502563657,0.2413522700468699,0.899811429636819,0.8081732590993246
