Epochs,Train losses,Validation losses,Train DICE,Validation DICE
1,0.56254081428051,0.6571692228317261,0.5964529551565647,0.0014704944333061576
2,0.4008774161338806,0.929468035697937,0.7426418513059616,0.5054038763046265
3,0.32938461005687714,1.2402148246765137,0.8359891772270203,0.5771870613098145
4,0.2819812744855881,0.4837658703327179,0.8844550102949142,0.7872436046600342
5,0.27636170387268066,0.934394359588623,0.873464435338974,0.6990719437599182
6,0.25380535423755646,0.6695826649665833,0.9019324779510498,0.7471604347229004
7,0.24016455933451653,0.4039497971534729,0.9160653948783875,0.7914389371871948
8,0.23837770894169807,0.5149027109146118,0.897052988409996,0.7752905488014221
9,0.22773071378469467,0.4338672161102295,0.9158216565847397,0.8175303339958191
10,0.2252500131726265,0.2667224705219269,0.9125912636518478,0.8418686985969543
11,0.20753687247633934,0.27770906686782837,0.9411833733320236,0.8336380124092102
12,0.20231813192367554,0.26772212982177734,0.9465429931879044,0.8069209456443787
13,0.22365376725792885,0.3220275938510895,0.9019196033477783,0.8526595830917358
14,0.2350534275174141,0.6451180577278137,0.8458700031042099,0.8259596824645996
15,0.20318350940942764,0.5478156805038452,0.9189049303531647,0.802493155002594
16,0.18895381316542625,0.26831862330436707,0.9335317462682724,0.7748986482620239
17,0.18268810585141182,0.3044471740722656,0.943093478679657,0.7097100019454956
18,0.1810513213276863,0.30744534730911255,0.9403251111507416,0.7893049716949463
19,0.17457081750035286,0.28722354769706726,0.9476644843816757,0.7932863831520081
20,0.1639503501355648,0.28592750430107117,0.9622218906879425,0.825388491153717
21,0.16267285495996475,0.3199012279510498,0.9560600370168686,0.8514567017555237
22,0.16222530975937843,0.33677932620048523,0.9518598914146423,0.8503546118736267
23,0.1580566018819809,0.2945583462715149,0.9608518928289413,0.8021805882453918
24,0.14794114977121353,0.28158774971961975,0.9704464375972748,0.7930911183357239
25,0.15312952548265457,0.2941150367259979,0.9536387920379639,0.8080433011054993
26,0.156234972178936,0.292072594165802,0.9299820512533188,0.7908061146736145
27,0.13968798518180847,0.31722378730773926,0.9706525504589081,0.6956149339675903
28,0.13715218380093575,0.2787218987941742,0.9754543751478195,0.7764824032783508
29,0.1331531275063753,0.26772743463516235,0.9726000726222992,0.811809778213501
30,0.14286917448043823,0.2694251537322998,0.9485330134630203,0.7888648509979248
31,0.13356725126504898,0.29585161805152893,0.9629413932561874,0.8276612162590027
32,0.13168621808290482,0.35914069414138794,0.9684381186962128,0.8368796110153198
33,0.1390802524983883,0.2690860629081726,0.9301730394363403,0.8326244950294495
34,0.12890338711440563,0.26277458667755127,0.965151846408844,0.8208954930305481
35,0.144118869677186,0.3054649829864502,0.9023566246032715,0.8228929042816162
36,0.12120207026600838,0.2617625892162323,0.9722778648138046,0.826964795589447
37,0.13556644320487976,0.24384844303131104,0.9487558007240295,0.8267579674720764
38,0.12190514989197254,0.3613378405570984,0.9602923691272736,0.8259209394454956
39,0.11445903405547142,0.372125506401062,0.9687389135360718,0.8250625729560852
40,0.14112991653382778,0.25443392992019653,0.8762125670909882,0.7999927997589111
41,0.11108179204165936,0.29391857981681824,0.9705383628606796,0.7081334590911865
42,0.10661882348358631,0.24895131587982178,0.9738812148571014,0.8346163034439087
43,0.10114866308867931,0.2556401193141937,0.9724472910165787,0.820788562297821
44,0.1058913953602314,0.27635908126831055,0.9665800482034683,0.8229745626449585
45,0.10289186425507069,0.2634682059288025,0.9730390161275864,0.7873972654342651
46,0.10348308272659779,0.274440735578537,0.9693399220705032,0.7521834969520569
47,0.09549028053879738,0.26613321900367737,0.9722889214754105,0.8202316164970398
48,0.09675760939717293,0.2435012012720108,0.9700798839330673,0.8360104560852051
49,0.09936869330704212,0.23649539053440094,0.9627432972192764,0.830830454826355
50,0.08891690149903297,0.2349952757358551,0.9817452132701874,0.8293638825416565
51,0.08555506728589535,0.26586541533470154,0.9832579642534256,0.7627577781677246
52,0.08640319295227528,0.24693383276462555,0.9796525835990906,0.7936242818832397
53,0.08281827159225941,0.25187286734580994,0.9834714382886887,0.8227275609970093
54,0.08482711389660835,0.25240784883499146,0.9810449481010437,0.7978497743606567
55,0.08197279646992683,0.2505558133125305,0.9795380681753159,0.7968941330909729
56,0.08044670522212982,0.2858085036277771,0.9806511402130127,0.8244834542274475
57,0.08130627498030663,0.2467065006494522,0.9815415591001511,0.8285431861877441
58,0.08445351012051105,0.243699312210083,0.9764543026685715,0.819950520992279
59,0.08468393050134182,0.40515533089637756,0.9605201929807663,0.8149892687797546
60,0.08086000010371208,0.5719913840293884,0.9742069989442825,0.8166016936302185
61,0.083176638931036,0.30653613805770874,0.9724103659391403,0.7989500761032104
62,0.07278559170663357,0.2750961184501648,0.9814843982458115,0.8207830786705017
63,0.07588127627968788,0.24508978426456451,0.9767166078090668,0.8319846391677856
64,0.07018690928816795,0.24265004694461823,0.9841760396957397,0.838452160358429
65,0.0699989702552557,0.23603041470050812,0.9839082360267639,0.8288635611534119
66,0.071574492380023,0.24498999118804932,0.9796511381864548,0.8298150897026062
67,0.06690836139023304,0.2705884575843811,0.9870275557041168,0.8245982527732849
68,0.066807696595788,0.2459508180618286,0.9840184301137924,0.8162268400192261
69,0.0647654002532363,0.23950649797916412,0.9853650480508804,0.8339663147926331
70,0.061531596817076206,0.24608418345451355,0.9876067787408829,0.8288689851760864
71,0.06160752568393946,0.23729035258293152,0.9896043390035629,0.8255136609077454
72,0.05984687805175781,0.2399076223373413,0.9880392998456955,0.8152205348014832
73,0.058712804690003395,0.24278423190116882,0.9882654696702957,0.8037145733833313
74,0.05872759036719799,0.24087616801261902,0.9866998493671417,0.8261913657188416
75,0.06453364994376898,0.24679987132549286,0.9750410914421082,0.8360787034034729
76,0.05602835305035114,0.26137810945510864,0.9894962161779404,0.839326024055481
77,0.05685112811625004,0.24780221283435822,0.9903116971254349,0.8007271885871887
78,0.05785127077251673,0.24945183098316193,0.9866169691085815,0.8168798089027405
79,0.052960507571697235,0.2577647268772125,0.9897555857896805,0.8223620653152466
80,0.054514301009476185,0.24870070815086365,0.9899432510137558,0.8146116733551025
81,0.05118020251393318,0.2516791522502899,0.9922091662883759,0.8254140019416809
82,0.049911970272660255,0.2499416023492813,0.9921036809682846,0.8311830163002014
83,0.051546577364206314,0.25554123520851135,0.9908028542995453,0.8315792083740234
84,0.053394436836242676,0.27076682448387146,0.985207200050354,0.8437608480453491
85,0.08303194399923086,0.30545294284820557,0.9642799943685532,0.7600960731506348
86,0.07009050622582436,0.502027690410614,0.952060267329216,0.8335875868797302
87,0.05976503249257803,0.29890742897987366,0.9732264280319214,0.8388088345527649
88,0.06729178968816996,0.7046738266944885,0.9618280380964279,0.8531742095947266
