Epochs,Train losses,Validation losses,Train DICE,Validation DICE
1,0.556955873966217,0.6918064951896667,0.6400696933269501,0.4325300455093384
2,0.35213701128959657,0.6859809160232544,0.870001471042633,0.6902450919151306
3,0.31128039956092834,0.7371084094047546,0.8607935547828675,0.7252741456031799
4,0.2795826315879822,1.4678008556365967,0.8763466835021972,0.7675585150718689
5,0.2542209833860397,0.37204915285110474,0.9095599770545959,0.7727724313735962
6,0.24578695595264435,0.4372442960739136,0.8885518431663513,0.7904626727104187
7,0.23085051476955415,0.8885208368301392,0.9108714938163758,0.7923405170440674
8,0.21543888449668885,0.6335055828094482,0.9272704482078552,0.8161090612411499
9,0.21153267323970795,0.4389531910419464,0.9251078128814697,0.8210445642471313
10,0.19721742570400239,0.6136987209320068,0.9341980814933777,0.8235855102539062
11,0.19279052019119264,0.533880889415741,0.9290686249732971,0.8472260236740112
12,0.18000535368919374,0.44897007942199707,0.9534158349037171,0.8350905776023865
13,0.17227544784545898,0.3760589361190796,0.9504772305488587,0.8192917108535767
14,0.1702530413866043,0.27982303500175476,0.9426841378211975,0.8473635315895081
15,0.16344926357269288,0.33188343048095703,0.9572500467300415,0.8431605100631714
16,0.155386346578598,0.28322818875312805,0.9588284611701965,0.8263100981712341
17,0.14845468550920488,0.30931198596954346,0.9644379138946533,0.8545187711715698
18,0.15472342371940612,0.2659505307674408,0.9436962604522705,0.8186683654785156
19,0.14857899248600007,0.28160855174064636,0.9638905644416809,0.7955714464187622
20,0.14765298068523408,0.24975726008415222,0.9481473803520203,0.8168194890022278
21,0.14112332165241243,0.24311292171478271,0.9603494524955749,0.8170872330665588
22,0.12678813338279724,0.25912562012672424,0.9722044348716736,0.8263985514640808
23,0.12610674053430557,0.24578596651554108,0.9716309785842896,0.826697587966919
24,0.12087093442678451,0.2599768340587616,0.9762912631034851,0.8197202086448669
25,0.119053652882576,0.2678682506084442,0.9723773837089539,0.8230426907539368
26,0.11527779996395111,0.2462342232465744,0.9782483696937561,0.8511558771133423
27,0.11153538823127747,0.24446381628513336,0.9722776770591736,0.840029776096344
28,0.1078354299068451,0.27303382754325867,0.9793017268180847,0.7985512018203735
29,0.17605579346418382,0.9968398213386536,0.8555100917816162,0.5842817425727844
30,0.1434735268354416,2.7940800189971924,0.9229776382446289,0.5832093954086304
31,0.14357150346040726,0.4712549149990082,0.9068341493606568,0.7297424077987671
32,0.12332314699888229,0.5261872410774231,0.939074718952179,0.7912739515304565
33,0.14565882831811905,0.427421510219574,0.9088369846343994,0.7786868214607239
34,0.11354095637798309,0.35719096660614014,0.9373969435691833,0.790964663028717
35,0.10873126238584518,0.25778985023498535,0.9531207799911499,0.8443293571472168
36,0.09954684674739837,0.2749670445919037,0.9629281640052796,0.7567632794380188
37,0.09323946833610534,0.28960198163986206,0.969844114780426,0.7384307384490967
38,0.09356798231601715,0.29846256971359253,0.9639366507530213,0.7376943230628967
39,0.09366199970245362,0.28770914673805237,0.9653961777687072,0.7562188506126404
