Epochs,Train losses,Validation losses,Train DICE,Validation DICE
1,0.5390221082312718,0.548161358492714,0.6696211309092385,0.4550097005707875
2,0.3923468479939865,0.8838820184980114,0.8031556924751825,0.6374495795794892
3,0.2982534838574271,1.0052759221621919,0.8840222649914873,0.7487827522414068
4,0.27843284087521675,0.9969379901885984,0.8818993159702843,0.759512296744755
5,0.2571371150016783,0.6945282765797203,0.8950373366900848,0.7794440456799095
6,0.24326204802308746,0.4644592455455232,0.9011345025471273,0.7848062310900003
7,0.23034022475991914,0.729167021172387,0.9077337006160187,0.7990628174373078
8,0.21834417564528313,0.6727558340345108,0.923631415026528,0.8112094419343128
9,0.20791451607431669,0.51889859182494,0.929846709115164,0.8204397950853616
10,0.20052119553089126,0.538841720989772,0.9282693082945682,0.8304743375096998
11,0.19007679522037496,0.5537989812237873,0.9376793854577197,0.8395984751837591
12,0.18109917793955108,0.4534629711083001,0.9466277943338663,0.8337687288011819
13,0.1732304000854491,0.35832075221197923,0.9500673307691299,0.8298928226743423
14,0.16905208970819185,0.3158772911344254,0.9480464223452972,0.8391544188771926
15,0.16354627817869175,0.2955005781991139,0.9527616156850538,0.8398965937750676
16,0.15455673958574007,0.3106258145400454,0.9628913763591216,0.8406093529292511
17,0.15168463225875572,0.28594206997326427,0.9560662674903863,0.8385818515505106
18,0.1510166959251675,0.28609283225876925,0.9560528755187983,0.8225444589342386
19,0.1510178772466522,0.2662446899073463,0.9518257481711245,0.8038785951478137
20,0.1469141077143804,0.2562086471489496,0.9560481023788446,0.8086467061723978
21,0.13909521822418475,0.24735230505466443,0.9589599384580334,0.8212083527020041
22,0.13018820766891742,0.24979199767112714,0.9696549895831512,0.8247021181242802
23,0.12386264226266305,0.25356135325772405,0.9743284143720351,0.8253398384366712
24,0.12201522303479051,0.25906792155333913,0.9735340973309106,0.8199846744537349
25,0.11842201501131051,0.26164410284587303,0.9758047185625345,0.829773047992161
26,0.11544777142150053,0.2495695603745323,0.9742658298356187,0.844905865192413
27,0.10537520055259966,0.18837077915668465,0.9867331211907517,0.8530005097389217
28,0.12880121452467772,0.29760788551398654,0.9393687016623357,0.7532575096402846
29,0.1498095798492431,1.4744139122111453,0.9066768131937294,0.6229885782514296
30,0.15946005110229755,1.7919666843754898,0.8881034687587188,0.5975249733243666
31,0.13363233655691134,1.245193048034395,0.9276505027498513,0.7088718686785014
32,0.13703468659094387,0.2935853498322619,0.9191771452767504,0.7837224500519885
33,0.1303331721254756,0.44798771057810083,0.9253721114567344,0.785780686991555
34,0.12326478187526962,0.33975199716431737,0.9306637876374375,0.8079566206250868
35,0.10539400594575052,0.2804929460797989,0.953454607214246,0.8107137628964012
36,0.09984623849391927,0.2650337466171808,0.9640387640680581,0.7792034268379208
37,0.09415054640599649,0.29051120196069974,0.9672621958596361,0.7338619760104584
38,0.09374973378011149,0.2972320514065877,0.9653549282891404,0.7383795584951125
39,0.0915899602855954,0.2830239483288355,0.9675919934681478,0.7594032253537855
40,0.08648970352751859,0.2635599987847463,0.9747458645275655,0.7840071388653342
41,0.07915685108729761,0.2692321862493241,0.9851436625208168,0.7820098842893325
42,0.08116998902388974,0.28537681613649624,0.9684177010399949,0.7654590538569855
43,0.08141106358596249,0.28359754213265,0.9632908735956458,0.7775809526443478
44,0.0848201810036386,0.2551877021789549,0.9603424389021732,0.8170689259256632
45,0.08325204223394388,0.22386210688522867,0.9704075329644336,0.8467548762048989
46,0.08168366487537104,0.21933966279029835,0.9684221635545999,0.8435518928936545
47,0.07525022285325178,0.23872223539011805,0.975987943581172,0.8353170803615022
48,0.07222107197557173,0.2602395500455582,0.9780873843601767,0.8279691525868004
49,0.06911274573632645,0.2701074353286197,0.9803879012380321,0.8118701202528813
50,0.06917398180280404,0.28005014828273217,0.9753284818785525,0.7894179497446329
51,0.06730599015951148,0.2909322100026265,0.9755238175392147,0.7710489290101183
52,0.06719373647655753,0.2903336346149443,0.9752116067068914,0.767548561096191
53,0.06320510966437197,0.2833018422126769,0.98275289773941,0.7731955528259273
54,0.06158165169613692,0.2806099925722393,0.9826128428322922,0.7757395846503117
55,0.05863387874194545,0.2855402452605109,0.9867314948354444,0.7710230214255193
56,0.05815919007573799,0.2920695185661314,0.9870424710001259,0.759475651809147
57,0.0555251066173825,0.2988998157637458,0.9889938821111403,0.7453011563846039
58,0.0535701883477823,0.3026142409869601,0.9885089319092881,0.7407514657293044
59,0.0525116855118955,0.2923546535628181,0.988461748872484,0.7602562717029023
60,0.052350112199783236,0.2858431134905132,0.9884155140604286,0.7773500357355386
61,0.05081783665078018,0.2895551153591699,0.9900052523612971,0.7761735950197488
62,0.05016832157969464,0.2919833592006137,0.9894886136054988,0.7771584340504234
